case_id,algorithm,selected_item_ids_checksum,median_wall_runtime_seconds_level_03,median_used_container_count_level_03,median_total_container_cost_level_03,level_id_level_03,median_wall_runtime_seconds_level_04,median_used_container_count_level_04,median_total_container_cost_level_04,level_id_level_04,median_wall_runtime_seconds_level_05,median_used_container_count_level_05,median_total_container_cost_level_05,level_id,level_04_vs_03_runtime_ratio,level_05_vs_04_runtime_ratio,level_04_minus_03_containers,level_05_minus_04_containers
random_random_s307_i500,extreme_point_best_fit,4f42526a4f53c0d8335823615e25b0516287cd7d7b43eda779f4b5f60083abd8,10.435524400003487,20.0,40000.0,level_03,16.156202000012854,22.0,44000.0,level_04,17.673841700016055,22.0,44000.0,level_05,1.5481926332334057,1.0939354249223916,2.0,0.0
random_random_s307_i500,extreme_point_ffd,4f42526a4f53c0d8335823615e25b0516287cd7d7b43eda779f4b5f60083abd8,9.588028700003631,20.0,40000.0,level_03,12.790291899989825,22.0,44000.0,level_04,13.369048399996244,22.0,44000.0,level_05,1.3339855668126004,1.0452496709638721,2.0,0.0
random_random_s307_i500,maximal_space_best_fit,4f42526a4f53c0d8335823615e25b0516287cd7d7b43eda779f4b5f60083abd8,6.114815999986604,19.0,38000.0,level_03,5.564894199982518,20.0,40000.0,level_04,8.12142350000795,20.0,40000.0,level_05,0.9100673184597394,1.4594030377133607,1.0,0.0
random_random_s401_i100,extreme_point_best_fit,8fd1c2d36ff88b69645ead28016adc6f82aa9725b4930400f32a6594e8c47ebb,1.2236414999933911,4.0,8000.0,level_03,1.1514764000021387,5.0,10000.0,level_04,1.9118672999902628,5.0,10000.0,level_05,0.9410243114575289,1.6603616886865522,1.0,0.0
random_random_s401_i100,extreme_point_ffd,8fd1c2d36ff88b69645ead28016adc6f82aa9725b4930400f32a6594e8c47ebb,1.1431617999915034,4.0,8000.0,level_03,1.0095793000073172,5.0,10000.0,level_04,1.7565398000006098,5.0,10000.0,level_05,0.8831464627446622,1.739873034231069,1.0,0.0
random_random_s401_i100,maximal_space_best_fit,8fd1c2d36ff88b69645ead28016adc6f82aa9725b4930400f32a6594e8c47ebb,0.9702414000057616,4.0,8000.0,level_03,0.8393816000025254,5.0,10000.0,level_04,1.4930774999957066,5.0,10000.0,level_05,0.8651265551001439,1.7787827371855833,1.0,0.0
random_random_s401_i20,extreme_point_best_fit,7b8a1b06e6ba119bd52548c254a71719334a0bda5b18ff8f8baac6b983d6209f,0.3426838000013958,1.0,2000.0,level_03,0.4893310999905225,2.0,4000.0,level_04,0.6292460999975447,2.0,4000.0,level_05,1.4279376497766436,1.2859311415312293,1.0,0.0
random_random_s401_i20,extreme_point_ffd,7b8a1b06e6ba119bd52548c254a71719334a0bda5b18ff8f8baac6b983d6209f,0.3380745000031311,1.0,2000.0,level_03,0.5305532999918796,2.0,4000.0,level_04,0.5442131000163499,2.0,4000.0,level_05,1.5693384150149325,1.0257463293974034,1.0,0.0
random_random_s401_i20,maximal_space_best_fit,7b8a1b06e6ba119bd52548c254a71719334a0bda5b18ff8f8baac6b983d6209f,0.34480779999285,1.0,2000.0,level_03,0.4981185999931767,2.0,4000.0,level_04,0.5328547999961302,2.0,4000.0,level_05,1.444626832697827,1.0697347981051688,1.0,0.0
random_random_s401_i200,extreme_point_best_fit,0880a936ad7f47c2bbb0b7510ebce62bb2e832aa5deb0098c527fdc4fd9879c4,2.683856499992544,8.0,16000.0,level_03,2.5282369000196923,9.0,18000.0,level_04,3.0681828999950085,9.0,18000.0,level_05,0.9420164230191578,1.2135662207806202,1.0,0.0
random_random_s401_i200,extreme_point_ffd,0880a936ad7f47c2bbb0b7510ebce62bb2e832aa5deb0098c527fdc4fd9879c4,2.5320117000082973,8.0,16000.0,level_03,2.370083199988585,9.0,18000.0,level_04,5.777082500018878,10.0,20000.0,level_05,0.9360474914001456,2.4375019830724516,1.0,1.0
